Minisector,LEC,RUS,Fastest
0,250.52169986888887,249.22798026869978,LEC
1,286.2675604076872,286.4059398690909,RUS
2,182.7975978692789,160.39321996583988,LEC
3,162.28640765928608,164.25573338583334,RUS
4,257.4765884639318,256.9855771081674,LEC
5,272.44682827580954,270.0832304619706,LEC
6,234.1672028383067,226.86364209723357,LEC
7,217.59335405714288,209.66118245624472,LEC
8,162.3837270749655,164.31109597418077,RUS
9,217.24061318179895,219.99552183709005,RUS
10,273.93532564343593,275.1685119236117,RUS
11,125.26487178738941,131.92255467900816,RUS
12,207.91877574357963,212.70709382861244,RUS
13,273.90224910506663,279.31414626438095,RUS
14,299.1780549688889,301.6209004592258,RUS
15,310.06020474828284,313.4921520926316,RUS
16,256.90894552673967,239.70992257038742,LEC
17,130.67663945459765,131.2480937685227,RUS
18,132.50290015740782,128.33707062614957,LEC
19,124.79085068484869,120.67603163226188,LEC
20,220.0177989272193,222.21684410340347,RUS
21,253.4903732104258,254.0626515801975,RUS
22,243.83448660483515,242.5928102114305,LEC
23,217.03220010111923,214.44583050700106,LEC
24,138.74016603177228,141.16071429053846,RUS
