Minisector,LEC,RAI,Fastest
0,298.287396766994,304.43370949849134,RAI
1,158.36096256155597,156.68596143887063,LEC
2,153.36749079758138,148.01732463249965,LEC
3,221.8191571784089,225.27100954854595,RAI
4,284.79961114725273,295.2748015873016,RAI
5,294.69679487179485,297.4453084134911,RAI
6,146.85736699120173,141.21908343466666,LEC
7,141.79925315153295,137.8726892220355,LEC
8,148.4499830856908,144.29834532961974,LEC
9,178.2828470549503,182.60260386666667,RAI
10,133.15019343242696,126.80093780162814,LEC
11,127.36542764841245,125.39325790479649,LEC
12,160.61206272029705,162.29841715224833,RAI
13,264.77246360653305,268.59970836548723,RAI
14,292.56971171282055,295.0472075172517,RAI
15,155.65983870320701,151.6542322602436,LEC
16,214.04068583081232,210.9077589104405,LEC
17,166.5327723315942,163.39246923602244,LEC
18,269.9951748028377,271.0905025948327,RAI
19,291.78400008533333,297.02820504615386,RAI
20,304.3590773012518,310.79724299503147,RAI
21,311.2256952774707,320.23423265039946,RAI
22,314.9594203362319,326.0265151515151,RAI
23,317.56404916976595,336.57818242043305,RAI
24,303.63845235809526,340.7932539428571,RAI
