Minisector,RUS,ANT,Fastest
0,299.55114181925927,298.08341069942855,RUS
1,218.62849319418027,224.60580964699747,ANT
2,206.08529499979798,215.88179158349692,ANT
3,268.2867103638247,276.3720800797166,ANT
4,234.17723596772487,261.0339271732837,ANT
5,122.94633359564955,122.40208037688978,RUS
6,207.2913910418328,195.37526735893078,RUS
7,240.4242419668687,249.61288232198308,ANT
8,238.69029375542752,245.7586484167033,ANT
9,222.9864385590062,233.90333983259958,ANT
10,277.22054400438327,286.2023637485065,ANT
11,308.03365338085183,304.9737258729412,RUS
12,319.8874998736842,317.49577714454693,RUS
13,321.84714592144934,314.67833631845014,RUS
14,314.87452402539685,307.7793252622222,RUS
15,248.87005463219998,266.95989407105066,ANT
16,229.65115355115987,237.9341445043345,ANT
17,282.0817328279035,278.2859511021325,RUS
18,291.931050885545,289.33039606094616,RUS
19,159.68241253353793,166.21477407698305,ANT
20,196.88795730592977,190.26391909942797,RUS
21,189.00188637218506,199.92086552811554,ANT
22,129.03885124817162,123.91413484671762,RUS
23,227.36689418184207,220.92025103756058,RUS
24,268.9503010488363,280.72694970875034,ANT
25,291.93457085299855,297.1333317333333,ANT
