Minisector,RUS,PIA,Fastest
0,281.0456025657414,281.41193589589466,PIA
1,295.8429698117293,297.1509896133333,PIA
2,289.2019283324445,292.7499294309957,PIA
3,177.43044641196624,176.90728374419444,RUS
4,223.9477781026274,219.746964216237,RUS
5,203.73380179676954,203.919993184012,PIA
6,179.57464574637012,180.51226703915344,PIA
7,209.3131846154488,208.32452136382653,RUS
8,259.05127405686153,258.89326158611584,RUS
9,263.7133555000412,266.7370548051649,PIA
10,168.59182710762394,165.92378365932703,RUS
11,239.95683482043293,236.94653257624026,RUS
12,120.81299077476861,118.06805960680404,RUS
13,220.9306458172583,222.4242111853553,PIA
14,274.4138256349681,276.40047239770485,PIA
15,292.3362498618182,289.43691338632965,RUS
16,215.9493779100936,216.9336042682316,PIA
17,184.57266936639436,189.2373920198417,PIA
18,268.03234085748915,268.69969657570687,PIA
19,289.693350029932,292.75077499649416,PIA
20,300.83407271782255,303.8750259085784,PIA
21,299.92674758119426,303.4606568731597,PIA
22,270.0881606487407,260.5569199219514,RUS
23,117.2486692517741,119.2737518257589,PIA
24,240.21141205131912,239.7300113449573,RUS
25,267.14642651428574,,RUS
