Minisector,PER,KVY,Fastest
0,236.89905782365594,235.29514422248624,PER
1,284.91580100351416,286.9093196432283,KVY
2,300.6941551639398,305.88307895608204,KVY
3,307.35436057520894,312.0838767768116,KVY
4,262.13631315538254,253.1004514506751,PER
5,169.01668160464112,165.5098663655606,PER
6,263.8902772938272,265.8729280902998,KVY
7,283.1298076893773,282.9225308839506,PER
8,208.39908274938776,201.87418370683451,PER
9,221.29166213022455,220.5123688302725,PER
10,179.29518095222025,171.53749925079364,PER
11,227.47281690956606,228.37437087591965,KVY
12,202.60581316184604,197.0410239680622,PER
13,207.46750093714286,208.43307768163265,KVY
14,223.13719246901934,224.07410331069568,KVY
15,175.1579848063426,167.5549689637166,PER
16,248.88563720706262,255.81436866206897,KVY
17,289.1306873779582,303.6618533432712,KVY
18,302.32191052628684,323.1865943188406,KVY
19,284.81437083076923,297.3931699111111,KVY
20,127.53679131458013,123.10360329826189,PER
21,157.5310743629729,148.40440997208114,PER
22,154.96218169075686,154.64397363646614,PER
23,197.78133739590342,197.3919870998938,PER
24,148.20043631169392,140.77901058067556,PER
25,191.53333759999998,,PER
