Minisector,BOT,GAS,Fastest
0,305.20818104280613,293.01091297076607,BOT
1,319.9743574745206,303.0576755087719,BOT
2,288.8529311547524,287.93030038120156,BOT
3,114.96432596379833,115.64444433260365,GAS
4,226.31442851607756,230.0010815685223,GAS
5,274.825,265.106759865202,BOT
6,226.21311012086238,196.97072406083262,BOT
7,167.2470763966651,170.6470163665637,GAS
8,202.4757597878165,191.58717811101147,BOT
9,220.12244199947762,206.25185492244788,BOT
10,115.14229539599239,116.87907156131661,GAS
11,228.8800478475381,231.57769250438392,GAS
12,116.3751729082292,114.9555060444573,BOT
13,223.702617459225,227.39469097533362,GAS
14,272.2925423897226,272.64634617057476,GAS
15,227.93538339704224,213.77697111746375,BOT
16,198.72293486180462,199.3926631208229,GAS
17,254.69520097578567,247.94956497497614,BOT
18,209.12955991544368,195.49786950504358,BOT
19,184.18931580678682,188.72694291542552,GAS
20,269.02284562963746,268.77492728884624,BOT
21,294.5531954689212,296.290871192527,GAS
22,160.69227826172366,160.45790379499192,BOT
23,208.53103046663168,215.95509006974135,GAS
24,272.98798712477515,273.5880172674174,GAS
25,286.37916693333335,,BOT
