Minisector,ALB,PER,Fastest
0,249.80088751599618,257.2991298703107,PER
1,130.64111365027728,133.57427434358985,PER
2,264.56881754190675,261.749608,ALB
3,305.94715106938776,305.47249314462647,ALB
4,304.3472700689655,303.91258830335096,ALB
5,311.9469708897544,312.56166611496633,PER
6,316.6705246814815,317.95848750617284,PER
7,318.8656140555582,312.8728616409171,ALB
8,199.8771247934321,204.81831697364342,PER
9,194.02320238324137,189.82006071011554,ALB
10,180.21413009500517,190.53294597954547,PER
11,164.61379075649114,163.82518117092167,ALB
12,251.05082772888758,247.4615531742297,ALB
13,275.2844002049686,283.33618963789974,PER
14,276.7733460955912,279.256013635468,PER
15,270.8903654,276.84181359975423,PER
16,185.43924297037404,182.31339656039833,ALB
17,191.1194368308087,193.54034973734866,PER
18,240.42896396154907,230.80378516402118,ALB
19,285.88267720027716,281.9502533646247,ALB
20,307.8691421009509,304.907407091358,ALB
21,315.10721169729743,315.315108893256,PER
22,309.83412915016976,315.38428572038094,PER
23,252.79503883784204,281.17183003823095,PER
24,115.3530103773759,113.1686985700198,ALB
25,,224.0,PER
