Minisector,RIC,MAG,Fastest
0,232.39772462222223,233.2628568333287,MAG
1,280.53756712281574,282.03905366353723,MAG
2,293.1590284204378,295.61452559330615,MAG
3,295.5625000727273,299.98874455411254,MAG
4,266.30168052529626,271.57600875428585,MAG
5,177.73082959327732,170.96770004540244,RIC
6,258.2998838034116,261.0806544571429,MAG
7,275.1056612753623,276.94280299220776,MAG
8,225.79412362979204,215.31842471699008,RIC
9,217.59118430755558,219.77165689632653,MAG
10,193.17470186961563,183.08631023865544,RIC
11,224.57190465693122,223.5739531310944,RIC
12,209.53174125958796,203.6779850652436,RIC
13,216.84412995993432,210.5519447720635,RIC
14,225.1635975946778,221.71371273969655,RIC
15,187.27027021061656,180.03409848163264,RIC
16,247.82311877648698,248.50412524080852,MAG
17,287.53031763301584,291.1666662095238,MAG
18,303.3032196848485,305.46979152,MAG
19,291.5667739082251,298.80532993741497,MAG
20,131.74666415965308,129.61953811120955,RIC
21,165.50575448958048,163.61673724531934,RIC
22,156.61397353962928,151.17176997714287,RIC
23,207.98597629247314,204.8400238169516,RIC
24,148.2228210252227,144.49560506137138,RIC
25,,183.05416373333333,MAG
