Minisector,GAS,TSU,Fastest
0,290.65192311794874,295.4778027701888,TSU
1,159.53220767783338,157.2813838103534,GAS
2,153.04276129317523,153.16085630202127,TSU
3,222.30913978494624,225.17152236190478,TSU
4,283.56116671699755,287.92373844821594,TSU
5,289.73904761904765,295.327999232,TSU
6,146.29765568166556,147.28599463018082,TSU
7,141.17949596596677,142.463083262841,TSU
8,149.17388938809256,148.4926986818754,GAS
9,179.247765861328,172.61225051730153,GAS
10,134.8563572998248,131.7164317455137,GAS
11,130.6675700579114,129.47397243263455,GAS
12,161.125575110028,159.68945703949277,GAS
13,265.1409968315801,268.69846766676187,TSU
14,290.7210144927536,293.2191667626667,TSU
15,154.66574864071345,153.5957839020408,GAS
16,211.12410071162935,206.96006903703702,GAS
17,167.08995653941153,169.23900982857143,TSU
18,267.60500946867245,272.6795793943979,TSU
19,290.4425843809524,295.29100014933334,TSU
20,302.5915427111111,308.6675051081902,TSU
21,310.2536231884058,316.56822919999996,TSU
22,314.2809028,319.7567029333333,TSU
23,315.7915715795868,322.48134061449275,TSU
24,311.9520832820513,321.116269784127,TSU
