Minisector,LEC,PER,Fastest
0,295.30379587160496,282.06677077333336,LEC
1,163.46209916813208,152.88747371266047,LEC
2,171.24850044732497,177.25155891087854,PER
3,250.78502474933828,246.86619128272108,LEC
4,282.75977636598617,278.3939917313016,LEC
5,250.97287766105399,245.00207360074367,LEC
6,231.9721553772431,227.44896895445342,LEC
7,160.35128493973028,158.49309040786815,LEC
8,229.55952528895654,230.06793618751897,PER
9,278.70274790549706,277.3574397658874,LEC
10,298.69637844771916,296.38020472876957,LEC
11,313.9528808765186,306.3660515707936,LEC
12,320.13377190175436,309.72676767030305,LEC
13,318.29162936485307,305.2903024754298,LEC
14,129.33554147480103,121.97458639712214,LEC
15,118.80568400976483,107.54597584899894,LEC
16,98.15035036638346,106.21530691454757,PER
17,233.36959278099755,241.3414772342857,PER
18,283.43594607847615,284.79279915221116,PER
19,302.45455982419753,304.0242387890882,PER
20,313.8088477970068,314.95777344,PER
21,310.44844827107767,314.76605656761905,PER
22,121.69518599481593,116.17767480262368,LEC
23,203.89970728277058,214.61926162401153,PER
24,269.7969609968849,264.21685841154476,LEC
