Minisector,LEC,GAS,Fastest
0,252.44625272681142,246.8248190698811,LEC
1,217.80942104035555,206.6606284111744,LEC
2,202.92168898150118,204.7485277872364,GAS
3,255.6450012248804,257.6645118983496,GAS
4,270.7699998526984,272.1320979353361,GAS
5,289.3682222648889,285.36654249650894,LEC
6,157.8433706685152,159.6686372824024,GAS
7,162.61051040263374,180.6472720470313,GAS
8,265.7285965213362,264.2931301278213,LEC
9,295.4379774625801,291.8747914278788,LEC
10,308.24275360551917,303.9657638301235,LEC
11,312.1596180724059,301.45368441559486,LEC
12,117.16638536752615,109.90195665814355,LEC
13,193.35943125287463,186.23415232368663,LEC
14,269.44036449634643,265.0593781169213,LEC
15,293.9963415597861,291.0985891299048,LEC
16,301.85350993868974,291.6998637512143,LEC
17,187.47937253056958,187.9898591220168,GAS
18,215.7272125394061,216.61396914886848,GAS
19,268.7625507426263,261.30629663455784,LEC
20,145.60133414106207,145.38252257166036,LEC
21,144.74316561767188,142.0787724366434,LEC
22,218.54276129575757,211.41285164854702,LEC
23,233.49435618462292,232.44361323398095,LEC
24,161.6912732928869,154.93452844444442,LEC
25,224.61111466666668,223.92,LEC
