Minisector,TSU,RAI,Fastest
0,295.4778027701888,308.2260862831507,RAI
1,157.2813838103534,156.32545419249382,TSU
2,153.20495541022578,149.55204685472188,TSU
3,222.92390047215008,223.18198905717588,RAI
4,287.92373844821594,295.2748015873016,RAI
5,295.327999232,297.4453084134911,RAI
6,147.28599463018082,141.21908343466666,TSU
7,140.95339892558792,137.8726892220355,TSU
8,149.91375691948568,147.59314253333335,TSU
9,172.61225051730153,172.47802255798226,TSU
10,131.7164317455137,130.44039503317853,TSU
11,129.47397243263455,126.77272934697397,TSU
12,159.68945703949277,156.42751768134886,TSU
13,267.642335632201,266.7473482441429,TSU
14,292.4589507160494,295.0472075172517,RAI
15,152.43053351489363,150.30973150536033,TSU
16,207.60585556756757,213.61731781240127,RAI
17,166.59026948748615,158.72672843602246,TSU
18,271.09639486106454,269.0245143142494,TSU
19,295.0616988717949,296.55833324444444,RAI
20,308.43565750419845,309.70036797280926,RAI
21,316.40156253333333,319.687454442411,RAI
22,319.68350697777777,325.4761904761905,RAI
23,322.48134061449275,335.7126026870997,RAI
24,321.2162525283644,340.6037500266667,RAI
25,318.81666666666666,342.02499982222224,RAI
