Minisector,HAM,LAW,Fastest
0,257.1647344252217,253.91330740500052,HAM
1,133.99826054849447,132.23555669093906,HAM
2,265.8352521673143,265.87220034552115,LAW
3,308.5520057570375,309.1704940309286,LAW
4,307.98717804767676,308.3874570910476,LAW
5,317.1129945521693,317.0941234921102,HAM
6,322.5183261777826,321.2521738666666,HAM
7,323.0286062340373,316.4749066257396,HAM
8,214.54189210543515,201.2939991354152,HAM
9,200.36900012830284,205.96467393936294,LAW
10,184.86017363742985,184.43187761129974,HAM
11,173.04528386434032,171.8325584846991,HAM
12,258.12155583117243,258.0314804486799,HAM
13,281.8066596249736,274.8317147191362,HAM
14,287.0228853187109,281.0355056582313,HAM
15,275.5901586210572,260.5481668637711,HAM
16,170.79029828529423,177.90865572088413,LAW
17,194.81501464697092,196.4589054852204,LAW
18,247.65186603459355,244.89425115118556,HAM
19,293.3574700864883,291.2685993294993,HAM
20,311.3854556761606,311.1525981688889,HAM
21,316.4650000178882,316.42677356401254,HAM
22,314.6391412711619,312.6401404221645,HAM
23,266.45902668072506,254.86444150022,HAM
24,119.91550433491282,123.29109186565886,LAW
