Minisector,NOR,VER,Fastest
0,276.3124550101325,271.00401311390476,NOR
1,302.33117917090914,299.43274284523915,NOR
2,315.4722112902564,312.5498069645311,NOR
3,321.60854340840336,321.4968682434709,NOR
4,324.11314100512817,326.2833431149206,VER
5,326.5917658920635,328.2210938,VER
6,208.54504769876894,203.75920595258663,NOR
7,109.38004027250123,105.8281187648637,NOR
8,190.1771516415563,186.4221351072578,NOR
9,264.2926758844919,261.18704343135937,NOR
10,290.288138690709,290.176153,NOR
11,176.13006825324263,186.43315201124548,VER
12,94.69428265705216,96.82518911636168,VER
13,109.86987092104613,115.01409238020342,VER
14,222.78254087341992,220.06718880444444,NOR
15,199.647706446753,193.25750121522427,NOR
16,232.1996385518679,229.96995597473682,NOR
17,191.13551153231583,184.53626737758242,NOR
18,242.5053030884726,241.71237180326202,NOR
19,278.44186871,278.56523042689076,VER
20,252.72576887667526,254.0160916503214,VER
21,151.76635421688889,145.6349357230303,NOR
22,100.39274798820448,97.23701513757163,NOR
23,126.52178707407336,121.94796943769315,NOR
24,221.02920803628118,223.98834124243248,VER
25,258.1999957333333,255.6181829818182,NOR
