Minisector,LEC,HAD,Fastest
0,292.17643759741173,293.0680908933333,HAD
1,304.6248637714286,306.215882247873,HAD
2,312.6420571168337,310.9052314646913,LEC
3,313.7673808457143,305.37185102222224,LEC
4,197.49731491111817,189.74236932307397,LEC
5,220.45377277573192,222.21088890349208,HAD
6,267.92400184128337,270.853190769723,HAD
7,263.50723185497077,266.63492411027573,HAD
8,194.3428380233745,195.52034980253808,HAD
9,146.68815414383542,145.2148371460033,LEC
10,177.32561975876095,182.02510178780116,HAD
11,261.928453430303,265.1005254308388,HAD
12,249.53036949840157,244.33242756508307,LEC
13,233.5087205231746,226.2501148889742,LEC
14,273.2553551743823,271.1038421118537,LEC
15,163.83554680517832,165.5439018174296,HAD
16,218.17952387047617,218.89481658254257,HAD
17,234.81248865876748,233.7707679506117,LEC
18,131.0599266713173,129.1914685984388,LEC
19,243.97744793476585,244.15738466444267,HAD
20,285.08333730844447,286.92440674136884,HAD
21,239.27020823390475,242.7320923083337,HAD
22,140.9880694827602,143.98336764035852,HAD
23,213.30291847619048,219.05050276289205,HAD
24,269.08541409740235,273.5353425903667,HAD
25,283.0,284.95000319999997,HAD
