Minisector,PIA,TSU,Fastest
0,304.88092105006103,289.60136324059465,PIA
1,322.34406757079364,299.8269479168831,PIA
2,329.3374448536961,306.25231143492067,PIA
3,332.43945723928766,303.79830153653086,PIA
4,196.08132439844798,190.7561262006734,PIA
5,216.04113768549686,212.73783991625194,PIA
6,268.09604215111113,263.02856173066664,PIA
7,259.9543765481349,264.5041315840086,TSU
8,189.5835166278458,184.99590484038097,PIA
9,147.26510787098414,148.20835021947372,TSU
10,174.4368732520458,176.32424271723949,TSU
11,256.54086216274567,255.1579357487128,PIA
12,249.22007236155844,244.62498402390713,PIA
13,222.65475762680776,221.34510333777777,PIA
14,265.82318751466664,266.63175232507933,TSU
15,163.353916700778,173.52248656903598,TSU
16,217.19150037145482,209.5611919873506,PIA
17,237.31089616195786,228.2714775648662,PIA
18,133.8661126223939,131.39545683929967,PIA
19,237.7842743073716,235.52557230951143,PIA
20,279.35449135771427,274.6068038360926,PIA
21,242.25271039152418,238.49493108251215,PIA
22,139.38221246625233,138.00879975068753,PIA
23,208.64076304390406,206.2995179302357,PIA
24,273.33614094484943,267.62486289936453,PIA
25,284.48333226666665,,PIA
