Minisector,OCO,HAM,Fastest
0,252.47135345020266,252.82662749767223,HAM
1,211.48047043291965,206.92398793547733,OCO
2,199.88015072644052,204.22807148501064,HAM
3,262.8363637744886,253.8230970043324,OCO
4,277.87924009316004,266.9957163094976,OCO
5,292.75722246252246,284.8646147582056,OCO
6,157.41021305047636,153.7939509256537,OCO
7,175.81301578004874,192.52049577334088,HAM
8,269.75562019969925,276.1238800904914,HAM
9,297.5327823296541,309.60910936163987,HAM
10,308.7201096844071,325.8472128251249,HAM
11,307.6869130760115,329.45525718125003,HAM
12,113.4458819577854,108.01479437181003,OCO
13,188.36943623370652,194.9964476896901,HAM
14,269.7415106953304,268.69789401487344,OCO
15,295.4307244417443,293.504319151746,OCO
16,297.6039136681008,295.4794550229253,OCO
17,188.40604308896934,183.12916525026137,OCO
18,219.08050930450722,217.71976962302722,OCO
19,269.6487751362057,266.3068240354522,OCO
20,153.36872137076162,144.5284909214425,OCO
21,139.46877882122678,147.64249649972624,HAM
22,214.89487530627932,227.8694463969396,HAM
23,237.18947533771944,213.23827258352074,OCO
24,154.0422282337187,160.9214850015342,HAM
