Minisector,LEC,HAD,Fastest
0,253.53401689014925,248.73335719963148,LEC
1,127.56927779478372,132.27060958148428,HAD
2,275.9934024135233,280.6296650102682,HAD
3,314.95554582995413,320.4728609594342,HAD
4,298.62910882047294,298.20980444571427,LEC
5,326.63980670694366,318.4849835409636,LEC
6,339.2240548362659,321.9217128237037,LEC
7,326.59928145454546,314.22944759590246,LEC
8,204.8165964161506,194.0335348222233,LEC
9,186.97119898716684,195.3193269638821,HAD
10,181.05544247349405,179.82839171550822,LEC
11,164.17399904666064,167.02404898838887,HAD
12,246.47986904956446,243.9699341407782,LEC
13,264.1734807814331,260.78913110340346,LEC
14,256.86895167311826,272.4726354819192,HAD
15,249.58626299681856,252.96363642620483,HAD
16,178.78534113676656,167.5913779934321,LEC
17,190.8314814706455,183.6976314406464,LEC
18,250.41434118908154,250.64031571004165,HAD
19,297.1728487692449,304.26332891636366,HAD
20,315.8025221849599,322.919422606009,HAD
21,290.6818348761921,312.5904864096199,HAD
22,272.0069050660534,300.2776818208581,HAD
23,236.14205271802481,226.5644709732522,LEC
24,122.59054620371754,120.38119457161255,LEC
25,223.13784859944283,,LEC
