Minisector,GAS,LEC,Fastest
0,293.8297287900629,292.12155779710145,GAS
1,302.70198415238093,300.6278984811594,GAS
2,275.66303492931155,283.40900275581816,LEC
3,108.69913004236928,111.42722566379629,LEC
4,227.41225355665026,228.0543096275862,LEC
5,275.1014794169445,271.51193678758506,GAS
6,203.98502026066504,209.9742439111111,LEC
7,166.23482967308166,171.95570309362049,LEC
8,208.65077296344086,219.53556926335773,LEC
9,222.412891185889,229.8227012781609,LEC
10,114.83973291245647,119.50142004620636,LEC
11,228.14087337142857,231.49190161617832,LEC
12,117.8817019169116,119.90983413302317,LEC
13,229.74418265640494,223.72635325079517,GAS
14,275.407986,273.1179997013333,GAS
15,217.74834865039082,222.38636243098415,LEC
16,197.86078365490198,198.97718063686276,LEC
17,250.06645819529643,254.46939072820513,LEC
18,198.88292213830053,213.45518572514453,LEC
19,185.59570325977393,185.16769073862434,GAS
20,266.6035423192479,262.34771025934066,GAS
21,290.1685398091271,287.8833331478261,GAS
22,162.77292574623885,170.1186163317553,LEC
23,215.65119011490017,213.41262896666666,GAS
24,274.9242453933763,272.27649913416485,GAS
25,287.1,285.6166656,GAS
