Minisector,ALO,OCO,Fastest
0,253.5076335395918,254.2583388277735,OCO
1,121.72490130407127,131.3185630251708,OCO
2,257.3421286236125,259.44040971027135,OCO
3,303.60898271067845,306.86963050779906,OCO
4,302.61839894456654,306.0090037501133,OCO
5,307.44791659259255,313.4219907621399,OCO
6,310.02517529757665,318.7773931350427,OCO
7,309.0062265965958,314.50529098783124,OCO
8,185.84617186997752,195.24520059298473,OCO
9,188.76778406120823,188.8180243505964,OCO
10,172.0624140104735,186.70741862689377,OCO
11,172.01270779223077,168.66217042031866,ALO
12,255.08292896355553,251.21357393827608,ALO
13,273.7235950813689,263.7763692771157,ALO
14,277.37380228295234,272.08911282941284,ALO
15,268.7237548523174,268.43122755583266,ALO
16,180.24929835397188,176.1688965125513,ALO
17,183.4153414374603,183.7475299482995,OCO
18,234.2436658935238,227.43127289583816,ALO
19,285.4143850542945,281.94649519644446,ALO
20,307.52298270650857,308.1100406145067,OCO
21,314.5715469818093,317.5578696661654,OCO
22,313.07003716285715,315.45847151301956,OCO
23,247.98645416654162,225.3040503336941,ALO
24,103.35168891393054,114.91840912077384,OCO
25,223.05249472,,ALO
