Minisector,LEC,STR,Fastest
0,302.003968152381,296.19753756536795,LEC
1,324.9108716317889,325.1934704108339,STR
2,318.8427083733333,312.92392335238094,LEC
3,184.50858728123634,176.12803502337545,LEC
4,230.03070027252747,213.14911825437704,LEC
5,212.175524460295,199.34627887126774,LEC
6,197.78377484976957,189.04345567160206,LEC
7,219.24154853448522,210.77009531955363,LEC
8,260.5830226815735,253.56907024388948,LEC
9,267.3513893333333,252.98620008106667,LEC
10,179.5043558514851,169.85682375718457,LEC
11,247.42098994000983,239.03658355200002,LEC
12,122.73918429951925,119.27191381728396,LEC
13,236.6005030521166,226.92589471734624,LEC
14,280.50896457416604,273.3625,LEC
15,291.5301586793651,281.72897023408484,LEC
16,214.4380846386079,204.47834133824887,LEC
17,187.28515749252153,184.70179630035054,LEC
18,277.88169451548526,268.2359985981726,LEC
19,303.5137783545863,295.5232564712494,LEC
20,314.9789473684211,308.184132011256,LEC
21,314.94211066213535,307.21072914666667,LEC
22,264.59831344761903,244.611000064,LEC
23,114.91949697897574,119.91407715602914,STR
24,247.7782485419169,245.83529628444606,LEC
25,283.1333333333333,,LEC
