Minisector,BOT,STR,Fastest
0,297.6987472935759,298.6535217259979,STR
1,235.22953968367474,237.94665663014717,STR
2,192.52169388979684,189.60211894707658,BOT
3,263.411512962224,262.2760156616412,BOT
4,228.1855638549856,219.87455054637962,BOT
5,114.03215212444061,110.75712230542071,BOT
6,174.3238214423572,177.42722325354887,STR
7,257.05491127619047,258.2476527199525,STR
8,287.6936903375238,284.26635357824847,BOT
9,304.2696447923716,296.68116697600004,BOT
10,304.05036243478264,299.18038186666666,BOT
11,240.79475908862295,225.82056943333333,BOT
12,147.51985571726837,148.81180175711742,STR
13,253.32884947356897,256.83548347639214,STR
14,290.05270951504036,287.3339748102564,BOT
15,300.371395513983,291.19928587200945,BOT
16,288.30802384457144,278.95178347641536,BOT
17,246.63180155570237,238.72974072005078,BOT
18,174.52276612816382,176.81794651241867,STR
19,179.36998755668765,175.90150598383144,BOT
20,172.54490567355515,176.60783455994755,STR
21,236.02773238436097,236.73575136344084,STR
22,121.06097097193575,119.47250639790673,BOT
23,201.88948392880124,203.09127005285754,STR
24,281.8097119348741,279.4613789128205,BOT
25,297.5916650666667,,BOT
