Minisector,GAS,ALO,Fastest
0,303.11299835804795,299.52328707261836,GAS
1,232.576284641077,238.0265144577573,ALO
2,190.42502193273654,196.53617646867673,ALO
3,267.85621731850784,264.4246260825397,GAS
4,218.0860125684642,225.48455029978953,ALO
5,109.88905612925085,110.11583959917385,ALO
6,168.20407256268382,172.95846680857125,ALO
7,256.4797158602552,253.19856434022986,GAS
8,284.5141278645143,281.2247204504203,GAS
9,298.99738621614904,297.094000128,GAS
10,301.841833344,300.5335144811594,GAS
11,221.07818998531718,231.89086275019474,ALO
12,148.06684057876424,147.32625817388558,GAS
13,257.2006406085903,254.44176681858838,GAS
14,289.4764134023999,286.22379246146005,GAS
15,296.91674339191843,296.3211805777778,GAS
16,287.7868335786667,291.50513756628044,ALO
17,242.24912864436692,251.00735875555557,ALO
18,167.63269704269115,175.0348306133153,ALO
19,178.38517560046458,177.99991111042388,GAS
20,178.255485263938,174.2607017714286,GAS
21,239.65016702065628,240.87654583192042,ALO
22,121.24245080580006,119.06155459626835,GAS
23,195.42997964444444,197.9489197619697,ALO
24,281.1288804783914,279.2668998696274,GAS
25,297.4750016,295.85833386666667,GAS
