Minisector,NOR,BOR,Fastest
0,283.8767507972699,282.83424533074975,NOR
1,294.37377394885084,301.9173807475132,BOR
2,274.57380469427886,280.1714120968152,BOR
3,167.51834422243695,159.58051620370148,NOR
4,114.71280849166928,111.55584313693518,NOR
5,240.45610136861907,240.60882290880755,BOR
6,288.6861318389814,283.28509995706725,NOR
7,290.07063438863827,289.28341500040403,NOR
8,171.41017083266314,171.51416287010696,BOR
9,137.5890634965229,135.81595560455585,NOR
10,258.5399077208429,249.38503267076925,NOR
11,297.2038256185085,292.30535387692726,NOR
12,296.96220764485855,294.7027063343377,NOR
13,271.8143496602881,265.1328348353138,NOR
14,284.20331626741824,282.7262417304285,NOR
15,277.4395625141185,279.3098484155521,BOR
16,234.979074715766,236.11120251114062,BOR
17,224.81132135439844,215.83470514164406,NOR
18,279.94504986766293,279.50780494495723,NOR
19,297.59025738039213,307.07363871255313,BOR
20,298.63472893219716,307.0303713916215,BOR
21,228.19726376926047,218.30668398467998,NOR
22,234.96534720670476,232.26982836418787,NOR
23,135.74041575689716,134.59525152325813,NOR
24,209.5702900776947,199.06852203113397,NOR
25,261.7187488,257.4624992,NOR
