Minisector,RIC,SAI,Fastest
0,302.6686364992577,285.56993851487533,RIC
1,320.1134938146058,295.47451794952445,RIC
2,329.7572157997733,299.8556573641949,RIC
3,322.0835189572623,301.01200945143603,RIC
4,175.45504671930433,174.07662870385076,RIC
5,220.0443367585188,203.93662969095644,RIC
6,250.58002109133344,213.79869568844558,RIC
7,267.0046328124728,253.80024624083958,RIC
8,271.2078949614035,268.3272842084979,RIC
9,175.91291297910124,166.75263084124808,RIC
10,231.5143546158168,230.30386459805095,RIC
11,145.10577111385237,140.39213020311092,RIC
12,221.38787618179856,217.6977665411391,RIC
13,208.1258612732827,201.10040650033255,RIC
14,212.99113378542094,209.9898924373092,RIC
15,252.67479157333332,244.11570929245943,RIC
16,262.68699929541015,254.77553546885557,RIC
17,282.2705697857399,277.98732287480334,RIC
18,146.98252467609,156.98374269788647,SAI
19,160.62589126869406,155.70240291556408,RIC
20,152.3419120371141,145.34089214095218,RIC
21,175.05137196400142,172.46823337454975,RIC
22,124.4786650665314,118.38327689173502,RIC
23,224.04416336746428,218.59765649833594,RIC
24,267.2477964434484,264.9415255108267,RIC
25,,278.15062757472737,SAI
