Minisector,PIA,BOR,Fastest
0,265.28141422603176,257.11207042527775,PIA
1,128.51328080352368,133.32897740792743,BOR
2,269.21036033352954,268.65969325373675,PIA
3,309.7587873870222,307.0174549029893,PIA
4,309.9842158692634,307.3485847246561,PIA
5,318.1068576740741,314.9478787927273,PIA
6,321.7318804875953,320.1392380688254,PIA
7,323.79041674666666,317.4502854834162,PIA
8,207.39833550213098,211.08572383671236,BOR
9,205.21819333433973,197.84130789918646,PIA
10,183.72293504038095,185.19796464582134,BOR
11,177.65257183202618,168.29400274823058,PIA
12,260.90049782652017,249.76573370544182,PIA
13,285.4954483075057,275.02561078871196,PIA
14,289.52743444996634,279.05199209723355,PIA
15,280.2491628232417,274.3148548236735,PIA
16,174.11882506135643,174.78849804655465,BOR
17,203.09663681519945,202.20453495306512,PIA
18,252.2693155661612,243.46440211868807,PIA
19,294.2863159398429,290.3604968626087,PIA
20,312.79918243959634,309.26802786355586,PIA
21,317.3132608556522,315.2773243574603,PIA
22,315.0841150770794,313.39540173841266,PIA
23,257.4264329829481,279.8450685602857,BOR
24,120.26167015727673,114.57890157935823,PIA
25,,227.0916672,BOR
