Minisector,VET,ALB,Fastest
0,267.5128134790148,254.6668079784985,VET
1,129.48903428993637,131.75762839063796,ALB
2,200.656002362292,195.4735178390003,VET
3,250.49417123220232,245.86754835199437,VET
4,264.2025578072658,255.09849814397407,VET
5,173.07805855700605,172.30825520936224,VET
6,142.35569847796899,144.33549017608044,ALB
7,183.39871334419834,180.03982522474527,VET
8,100.06488931323997,102.31641095531269,ALB
9,72.93139594008987,73.78515070049596,ALB
10,93.73847195072713,94.96705887133055,ALB
11,182.8733216605777,185.4345221225608,ALB
12,248.06122401088436,246.07360655089815,VET
13,271.26603503569635,271.28903811076816,ALB
14,282.6308991748247,279.64403004936116,VET
15,117.21595383131825,111.21079335655837,VET
16,142.61169641085024,149.0734907952993,ALB
17,181.31651829333333,184.537350821323,ALB
18,197.69217585202875,193.35678477450446,VET
19,200.03645363641857,206.1829527807812,ALB
20,129.64794721492981,136.35329263864043,ALB
21,109.5005810486907,110.15660181135118,ALB
22,94.82238950525048,98.7065762189446,ALB
23,197.07777860045877,200.61630297236778,ALB
24,253.20322454941004,252.45823055184695,VET
25,268.1666666666667,,VET
