Minisector,SAI,OCO,Fastest
0,260.90882352941173,258.9441194666666,SAI
1,135.0827144802577,129.9737132071324,SAI
2,195.25463530199323,194.16328471759854,SAI
3,243.91484593837535,242.3828421647059,SAI
4,259.9450385134029,259.02039578270336,SAI
5,184.6173218024652,180.6121625266899,SAI
6,152.57786600070546,149.13611168395062,SAI
7,185.42283182129142,181.4698718538463,SAI
8,103.66576454971947,102.37424938165996,SAI
9,79.1596799921428,77.62350803049989,SAI
10,93.62398021485409,94.53987621355864,OCO
11,179.75371397813785,179.7977026985382,OCO
12,245.2406191283469,242.033259643603,SAI
13,267.5584126984127,264.7640619333333,SAI
14,280.10087876158485,277.45888903111114,SAI
15,121.25864428464294,120.10212836922119,SAI
16,142.58571820241698,141.98425651358025,SAI
17,194.93076280762193,193.771389629803,SAI
18,198.22511904761905,194.794442615873,SAI
19,220.00119248117622,219.84605411929826,SAI
20,131.83569177946262,133.08938110296913,OCO
21,117.55610667740883,113.1653754832993,SAI
22,93.30744299810338,92.85921167792208,SAI
23,195.80000096507933,193.69714885295969,SAI
24,246.7794159922542,246.12152663703702,SAI
