Minisector,RUS,ZHO,Fastest
0,288.7094958185941,285.41167114848486,RUS
1,297.5340441411765,294.44905525472063,RUS
2,301.03729949946523,298.34288356923076,RUS
3,298.78508719157895,292.619952416354,RUS
4,167.86085449335303,163.9084716259217,RUS
5,207.72601959866347,199.36444111596248,RUS
6,227.45609723555555,225.01387147470408,RUS
7,259.97889637434264,256.756945487756,RUS
8,255.72731292721204,249.15352945973146,RUS
9,162.32742247823617,159.34255703285714,RUS
10,224.3441312952053,224.08448190049492,RUS
11,134.1859757373189,128.66082126915757,RUS
12,226.65081925315582,224.7368764138879,RUS
13,183.1548811310451,175.75847820924346,RUS
14,216.4093277822465,210.0301774191544,RUS
15,230.02200490143338,233.91114363705628,ZHO
16,254.21227205756435,256.20491931605795,ZHO
17,279.27628251877724,279.19934632082163,RUS
18,155.0580302020235,152.0353834518404,RUS
19,166.88518593976767,162.18129451470165,RUS
20,141.4121574704357,143.9298439109357,ZHO
21,221.71867680984124,226.7646650857801,ZHO
22,255.58669471200793,251.99257262545453,RUS
23,243.5028195812197,237.291904218836,RUS
24,268.05269185994047,267.9725310571678,RUS
25,280.7928576,,RUS
