Minisector,RIC,HUL,Fastest
0,273.90329634646906,277.7659712888889,HUL
1,291.1231061818182,297.4413417993586,HUL
2,222.7797265736563,225.92428443218392,HUL
3,129.60509225086523,125.97348679756229,RIC
4,186.31332673414,184.79255221329777,RIC
5,124.66590473349699,120.76017936728347,RIC
6,213.8192097924943,206.7605057835686,RIC
7,261.43458124094525,257.25462463223283,RIC
8,184.54098152926682,177.3083761615331,RIC
9,181.3831789468159,179.42388204004203,RIC
10,260.56448713815433,265.05572848888886,HUL
11,189.17923401699045,192.95075737568587,HUL
12,166.945366144053,158.73333746803252,RIC
13,253.99231951765762,258.84455933525066,HUL
14,270.7831631278935,276.84897151861475,HUL
15,283.29563504761904,289.8682288577707,HUL
16,209.0208538381791,201.0963535385561,RIC
17,198.68489606666668,185.15064406324578,RIC
18,245.87942896731923,241.00617102222222,RIC
19,282.33876860289854,285.852868561446,HUL
20,292.3112251912993,296.82777771247163,HUL
21,197.86924679951605,201.2363537419694,HUL
22,151.09377632581177,144.74465135167054,RIC
23,157.0112500068564,155.24111262711116,RIC
24,228.06815295036475,226.6998203805669,RIC
25,260.8333333333333,262.809127189409,HUL
