Minisector,BOT,OCO,Fastest
0,294.3113880096323,290.7130440811594,BOT
1,313.48004395789474,311.9947370907268,BOT
2,309.9727608231948,312.2299989333334,OCO
3,181.84126799375366,177.0969716388379,BOT
4,225.85193052232702,218.43115054883998,BOT
5,207.61240642180513,197.6822867024531,BOT
6,191.53593713310926,182.15099978904303,BOT
7,216.44678134012648,213.3862499911111,BOT
8,260.1329391432434,258.93992206492163,BOT
9,258.12276183347655,259.28195300206556,OCO
10,173.03516568152438,167.62401127017543,BOT
11,243.18401292227267,242.3513592686817,BOT
12,116.96898852534514,118.1942001078588,OCO
13,232.29307392042494,229.07294738051283,BOT
14,280.60284101818183,278.41589853201714,BOT
15,283.3627148066416,291.4248379844156,OCO
16,202.80831247553365,202.49411464495182,BOT
17,185.3456174401494,178.22352838543418,BOT
18,273.8160457606625,271.0832300766228,BOT
19,301.5174804837571,302.6767852952381,OCO
20,314.80630952380955,315.5925809225198,OCO
21,310.97184508190475,316.22802108,OCO
22,262.7469549938087,270.59382297222163,OCO
23,118.83280271890143,113.33333325432098,BOT
24,248.22396413833212,235.60681403995142,BOT
25,279.0500032,276.4047609904762,BOT
