Minisector,PER,OCO,Fastest
0,100.27035316906012,112.04726552593866,OCO
1,120.76656966227941,136.09166666666667,OCO
2,189.63491629439122,147.19900181172278,PER
3,142.5968046920508,160.77927949515023,OCO
4,129.3909322830832,130.95676576988228,OCO
5,215.85840634285714,149.14634076198706,PER
6,239.64725357313034,177.20416666666668,PER
7,129.5055727477456,166.00202911625487,OCO
8,135.20892907415242,144.14948633573314,OCO
9,197.18333333333334,149.09543090229195,PER
10,236.69810921785898,139.0911439218727,PER
11,254.97193283516484,139.94910018926453,PER
12,217.0630094664611,164.99623141587304,PER
13,226.0211111111111,129.9223159312695,PER
14,102.02368687766473,179.43493047870462,OCO
15,148.5938923395445,160.11985040828156,OCO
16,84.57417919123802,158.58005018695334,OCO
17,130.10580974291622,98.32312530330591,PER
18,172.76270890666666,91.07233785465809,PER
19,184.64729308158084,173.34682719512227,PER
20,196.0135760044645,124.98508161779912,PER
21,208.15472328571428,162.54818267573697,PER
22,162.22218500082093,178.0067244425331,OCO
23,81.04996175836962,126.79150834326363,OCO
24,113.35046230030453,141.83000149333333,OCO
