Minisector,VER,HAM,Fastest
0,272.33506204336993,265.91659186668693,VER
1,291.63311397696526,286.2019895750549,VER
2,274.4957361281935,271.65469649230766,VER
3,156.45286984614825,155.27001505354497,VER
4,193.2571909375312,190.41592393484527,VER
5,169.38880526422798,173.36883002198155,HAM
6,161.38497256973164,164.0713669519263,HAM
7,188.37975383018082,187.38370166278662,VER
8,243.96188488450218,239.70283898553296,VER
9,230.25974890819046,220.68994167816712,VER
10,141.89592285714286,144.79731764336412,HAM
11,220.45657409915418,222.28584487428213,HAM
12,112.54309556079025,107.54538696499478,VER
13,210.96527586899035,218.26251142095958,HAM
14,265.44886585242233,263.9999297301948,VER
15,275.88616583185376,268.0138809268789,VER
16,177.59208762695795,163.39236571504776,VER
17,161.01979488026734,163.36772757032315,HAM
18,251.02779595701125,253.91675246828893,HAM
19,282.2057634711111,276.4206976954824,VER
20,293.8247788773171,290.85344910933054,VER
21,284.0846000737717,276.2419161928076,VER
22,238.5737275319357,217.42816751239405,VER
23,101.65011953943666,102.47570264783397,HAM
24,225.04279390320542,226.75528503947348,HAM
