Minisector,RIC,OCO,Fastest
0,288.035869542029,290.7130440811594,OCO
1,306.19044100315995,311.9947370907268,OCO
2,302.1220455527605,312.2299989333334,OCO
3,183.4948911674525,177.22948591886933,RIC
4,223.97395855238096,219.78045242101925,RIC
5,210.7720235159946,197.6822867024531,RIC
6,194.94907306229737,182.2347939128947,RIC
7,215.79035273315907,214.36508619770115,RIC
8,259.418403253068,258.93992206492163,RIC
9,264.67762173828953,259.28195300206556,RIC
10,173.4173842558101,167.62401127017543,RIC
11,239.70227739682662,242.3513592686817,OCO
12,119.06433340871347,118.1942001078588,RIC
13,228.37566258906529,230.32950488493827,OCO
14,275.66313791583053,279.1499889383037,OCO
15,282.77559517229435,291.4248379844156,OCO
16,211.79841370365335,202.49411464495182,RIC
17,187.265910376912,178.22352838543418,RIC
18,271.3184858189376,271.0832300766228,RIC
19,296.81309556825397,302.6767852952381,OCO
20,308.334390664492,315.7548389738284,OCO
21,307.91249973333333,316.0821274526316,OCO
22,270.00543147220816,270.59382297222163,OCO
23,118.27399146283175,116.05416898521553,RIC
24,243.45142226390422,240.869747904,RIC
25,,277.1071414857143,OCO
