Minisector,HAM,HUL,Fastest
0,252.37132080529685,250.42127790225953,HAM
1,288.08414703238094,286.750568329697,HAM
2,181.29675380743498,175.9533998233181,HAM
3,155.00061157803174,158.4875992357509,HUL
4,256.3872006399782,257.3598581655065,HUL
5,276.0830705430303,272.7138263654603,HAM
6,242.95835390085674,242.96032204948315,HUL
7,212.85091726575962,208.6014394631796,HAM
8,154.4203134119472,161.14003919830688,HUL
9,218.13142598463352,216.28580628430643,HAM
10,272.92857509356423,270.280492379798,HAM
11,127.17181453113196,119.13037442175727,HAM
12,211.01221357219035,214.61528102008657,HUL
13,276.43514438655075,277.44887458632036,HUL
14,298.3856169196505,297.5978411119192,HAM
15,307.1550672650472,307.110326843637,HAM
16,238.37138613228157,242.47007979733334,HUL
17,128.2908261153879,129.45786752345026,HUL
18,128.70370035502566,130.52796156531633,HUL
19,118.49131602748021,121.94485695584808,HUL
20,227.91446960761903,229.62265544139854,HUL
21,260.5867714052003,262.26721652078186,HUL
22,247.38339456234146,237.83540046217604,HAM
23,222.67968173478457,217.72613665562588,HAM
24,136.09421594965784,140.60070992829574,HUL
25,218.38333333333333,213.22500480000002,HAM
