Minisector,BOT,MAG,Fastest
0,274.77508282457035,276.9647105679467,MAG
1,293.4104400935685,299.71927909028165,MAG
2,287.6460960388357,292.4971560804233,MAG
3,173.66750620468065,175.03218343201712,MAG
4,117.25738271131974,110.28273448757699,BOT
5,233.55827249165205,233.70195665533205,MAG
6,282.5497837503962,288.9947544827361,MAG
7,296.60636226405006,305.7807533206349,MAG
8,163.97354476052706,160.28785154633593,BOT
9,141.5607239736611,130.80663298069283,BOT
10,250.39567076770945,246.44660253132272,BOT
11,286.1547880064632,285.9737612415025,BOT
12,295.9152726194697,296.4648574329834,MAG
13,280.0847642370419,264.7310722440266,BOT
14,297.9765216962386,292.7643682787902,BOT
15,298.11151098001943,301.1066288569351,MAG
16,248.421170603554,232.52376434256337,BOT
17,224.49328671531475,209.13993160138972,BOT
18,277.61662257680183,279.3148114771844,MAG
19,300.6878302409539,310.8410605899202,MAG
20,301.4415309970538,321.3272545180387,MAG
21,231.98541130318648,216.26005080401444,BOT
22,255.69288367097437,251.0997205616359,BOT
23,137.8662911054002,135.08619914740675,BOT
24,212.81072185051266,198.0736856688414,BOT
25,257.2333312,252.82500053333334,BOT
