Minisector,GAS,RUS,Fastest
0,308.70208531319724,313.19795382671384,RUS
1,196.72762314760732,185.90813894954823,GAS
2,111.70978030310928,114.21871418056195,RUS
3,193.6485560942153,198.45105083988983,RUS
4,253.4878915194846,255.76882226748586,RUS
5,285.1696088099567,288.284754912946,RUS
6,302.0901442841527,304.8569444063492,RUS
7,227.90017392909576,226.83606797043117,GAS
8,146.7072305659492,143.26059631805788,GAS
9,229.1146030374603,231.27135765386802,RUS
10,270.79424169385624,271.6127248082088,RUS
11,224.77108490473165,224.29164696899826,GAS
12,170.09171138667867,171.44705803565213,RUS
13,109.17280162746401,104.97015636916144,GAS
14,105.28027690338972,106.65157629047208,RUS
15,136.12449812843693,137.6060360339043,RUS
16,114.59964573980129,113.79004263794852,GAS
17,203.26495455753727,211.56171949482922,RUS
18,157.30525030532309,146.72630540725697,GAS
19,152.31821862042952,150.2320964516223,GAS
20,241.76257158929397,245.89977838288772,RUS
21,271.40628227555555,276.4421293925926,RUS
22,290.85629353238596,295.7842951641721,RUS
23,302.45868035555554,307.5300737682963,RUS
24,307.84615384615387,312.6627404923077,RUS
25,308.0,,GAS
