Minisector,LEC,BEA,Fastest
0,247.29678643094667,248.33499344511503,BEA
1,285.14054926843477,284.737499952,LEC
2,182.87598439564442,163.11658635676338,LEC
3,160.80587557764704,155.60030850584695,LEC
4,254.8544009504228,254.16620999346995,LEC
5,275.16915158673044,269.245641420951,LEC
6,247.93502241937426,235.88483028223143,LEC
7,219.55078727807197,200.57628596899573,LEC
8,159.39516788185654,161.44569326037623,BEA
9,206.49917506584183,216.59280357529445,BEA
10,268.4913562050575,269.4970158706842,BEA
11,126.60333968787809,122.72758096396062,LEC
12,208.9966813677515,216.0953551331482,BEA
13,275.5211665236975,277.1513415248198,BEA
14,297.4301895031397,304.8712175511203,BEA
15,309.0197284462064,319.23715535772766,BEA
16,248.71877022966058,215.28897265786023,LEC
17,125.56693069917986,128.2762072394847,BEA
18,127.98383819101676,132.9403791994479,BEA
19,117.57194252874243,118.2711204020308,BEA
20,227.09148223692424,221.0472561963273,LEC
21,259.73311722943725,256.8570668394198,LEC
22,241.06154232996724,231.7916464369903,LEC
23,218.27999449744067,206.84359004281504,LEC
24,136.45577947451793,137.80347969516205,BEA
