Minisector,VET,LEC,Fastest
0,285.3598010659739,280.7440142984127,VET
1,311.86628182939637,304.6636917595504,VET
2,325.1535718095238,316.0107993360544,VET
3,332.7794646857143,322.7490384410257,VET
4,337.07559535238096,327.79251700680277,VET
5,338.00595238095235,330.3331037268308,VET
6,206.37139636363636,203.74409833650793,VET
7,106.1849518918821,107.62910846736352,LEC
8,196.23198287418947,186.0686569293236,VET
9,271.1852000711111,268.33515646666666,VET
10,301.45342350476193,298.6354166666667,VET
11,174.1396712064397,162.96327802992866,VET
12,97.04070373307103,99.67901656927839,LEC
13,120.61235951707624,118.7887957579853,VET
14,227.62676941041522,220.38857939653974,VET
15,189.71845712171648,187.22095697777777,VET
16,222.56540879576718,221.83257772099464,VET
17,180.5526877885342,173.8836669677956,VET
18,240.6202380952381,244.96702625403006,LEC
19,287.2225564773727,287.8888056949495,LEC
20,254.21338974131788,228.90106217539565,VET
21,147.75874788757199,144.93332963461793,VET
22,98.07213043848886,99.4652826787912,LEC
23,125.12921684897958,125.72271227669296,LEC
24,237.88730173968253,236.96329392592594,VET
