Minisector,RAI,MAG,Fastest
0,308.40479175111113,314.8097686583235,MAG
1,254.91654167869717,253.5461676488,RAI
2,204.1495007066052,196.08981203610549,RAI
3,267.26547479307476,264.46833531333726,RAI
4,236.36312486587738,227.72543174658458,RAI
5,121.28774007956196,116.7455462058141,RAI
6,176.63992254920512,178.72648902813975,MAG
7,257.9741112663548,258.07094337589916,MAG
8,289.2022723393939,288.08582360883776,RAI
9,302.6401017078748,301.16191406011524,RAI
10,307.2693273261237,306.47280335731085,RAI
11,235.63422613665628,227.686688292233,RAI
12,146.0290379088557,144.98981852101898,RAI
13,256.9600074355917,257.182437068815,MAG
14,289.6422343757576,287.587905634632,RAI
15,299.82062496,288.4931856187582,RAI
16,297.2168651174603,286.4429788653119,RAI
17,260.84457464250164,262.24270855899834,MAG
18,179.25059471238094,184.15287579117137,MAG
19,189.9864413784979,184.85986901028988,RAI
20,185.30455970142899,185.12012166495958,RAI
21,247.09666756266665,250.73534513049347,MAG
22,128.59535573270475,126.60326743378711,RAI
23,204.38453547618005,206.70733289756996,MAG
24,278.62426105295236,275.8560731017704,RAI
