Minisector,RUS,GAS,Fastest
0,287.8369932214665,287.26990307145564,RUS
1,293.1511597339194,290.40652223238095,RUS
2,163.48729003803987,163.55138431180828,GAS
3,221.70419113771732,224.81785697823807,GAS
4,268.5893458680112,271.2892419242756,GAS
5,289.00896892026145,290.5657711207359,GAS
6,298.04765453605444,294.847443099798,RUS
7,163.10405229714286,175.10066511299303,GAS
8,126.29149908396222,124.52477422423706,RUS
9,246.2071954225037,246.12662386683232,RUS
10,280.61389742406857,283.0693506816642,GAS
11,292.7569993386667,291.2316504483129,RUS
12,141.04757496593845,145.13991970409813,GAS
13,188.71361365679653,192.6342551557272,GAS
14,252.76577093437294,251.70300434436257,RUS
15,205.2280218744179,206.39918948468758,GAS
16,208.98189903417492,216.16362514285714,GAS
17,209.29313426136062,208.11744938519655,RUS
18,236.65314926724085,243.18710528336555,GAS
19,272.8876611511449,275.4402833682778,GAS
20,291.3992158512045,288.20375003733335,RUS
21,262.3317130195128,260.9994454065934,RUS
22,221.77256877005962,220.23086826591378,RUS
23,206.60795610389613,204.80705420704604,RUS
24,261.40893550667147,261.68220187247715,GAS
