Minisector,GAS,ALO,Fastest
0,278.081697298707,277.17740620902356,GAS
1,292.41363566198123,297.4506600021979,ALO
2,285.0801214403447,299.4718878077097,ALO
3,164.44510261308497,169.06521376067482,ALO
4,119.51783438482846,119.9842569227259,ALO
5,238.12655779138098,236.03187215227513,GAS
6,284.63980321923725,281.1017022932114,GAS
7,290.6129188426025,293.4065827365079,ALO
8,171.4402907851531,169.49880532466713,GAS
9,138.88010701021588,142.75948310241264,ALO
10,249.9037088223176,251.72809392511783,ALO
11,287.948828614282,289.15359572806767,ALO
12,301.63726729162005,296.76893094492755,GAS
13,279.93695119703705,281.38355611760784,ALO
14,304.120007130886,302.2467589866667,GAS
15,303.4093577108822,307.38429506620776,ALO
16,246.02602280777145,250.38756193962786,ALO
17,221.29766491411644,222.13920353377958,ALO
18,287.0431097450607,277.0881166178684,GAS
19,318.97985252152876,304.44236136533334,GAS
20,323.5577657687075,309.489415225012,GAS
21,217.6036094737415,234.45902863882614,ALO
22,257.2588219897436,260.4998705532926,ALO
23,137.83458937898465,138.5983588289093,ALO
24,214.28133591380953,210.13001594742857,GAS
25,,259.12698646740847,ALO
