Minisector,RAI,GAS,Fastest
0,314.1597018120894,298.6203483140474,RAI
1,247.70992852347786,251.2752169216159,GAS
2,195.9421282703533,199.82292435750992,GAS
3,265.65325323060864,266.9248752507848,GAS
4,225.92725266759336,237.05121886056273,GAS
5,117.22731606205295,117.1460801725362,RAI
6,176.11739608787943,176.1653648158154,GAS
7,259.00993025871884,254.82557115446488,RAI
8,288.3727083256608,283.9734341275143,RAI
9,301.9668646960442,298.3186285820028,RAI
10,306.03901726765326,304.83666650666663,RAI
11,213.11024478826877,254.06242738313827,GAS
12,143.21904881057822,141.0344775177071,RAI
13,258.08780641056404,253.51649732432963,RAI
14,290.19931620301986,288.14889566752896,RAI
15,301.76629075911075,299.2774774724145,RAI
16,297.85756812335944,297.1314285257143,RAI
17,264.2818445588345,276.3742403034965,GAS
18,181.1978841385078,186.88865553233,GAS
19,187.38688417073547,206.23797975566293,GAS
20,184.56493750732395,166.06000142344374,RAI
21,249.1046327169307,253.67443611236698,GAS
22,127.8248355454917,145.29017398679713,GAS
23,198.06050292141637,161.63376356827447,RAI
24,275.8211197537769,267.96869994884486,RAI
25,289.8125024,288.3326385777778,RAI
