Minisector,OCO,GIO,Fastest
0,111.75846763967861,208.20725616888478,GIO
1,138.82361111111112,220.34054672979818,GIO
2,138.79244638067877,170.85050611809524,GIO
3,164.41043543301453,223.93486261624778,GIO
4,133.30147424213953,265.52147347692306,GIO
5,145.43528944604503,293.18761218804065,GIO
6,165.73250000000002,310.3281236444445,GIO
7,179.01088049206763,322.03999968,GIO
8,144.1418553764172,266.5113844147996,GIO
9,155.62957961462152,129.3582906282703,OCO
10,137.0657358809524,192.5477914980392,GIO
11,134.36295441482508,248.2789997079789,GIO
12,160.69932508880697,280.4822910222222,GIO
13,134.36260270977107,299.8012230654769,GIO
14,161.44450078232006,315.25216333852813,GIO
15,170.15366226285715,322.74861084444444,GIO
16,158.84374894545454,319.07669844351165,GIO
17,147.61878822287045,188.483493277193,GIO
18,76.66888071587522,84.19277530303903,GIO
19,124.11586284402993,197.4229153882353,GIO
20,160.73448695536615,255.38427521784476,GIO
21,122.7094388339324,286.32786319999997,GIO
22,177.49394915354364,305.32017568146944,GIO
23,164.46066418394486,313.71174254545457,GIO
24,129.65847360937212,272.44653013333334,GIO
25,,123.72176167774701,GIO
26,,152.27269876363636,GIO
27,,231.52388757333335,GIO
28,,260.9109299953993,GIO
29,,224.5255039898363,GIO
30,,161.0901641505669,GIO
31,,202.90969592480886,GIO
32,,224.0405474466574,GIO
33,,179.64696079398496,GIO
34,,218.9547208711111,GIO
35,,254.42194090055062,GIO
36,,274.6952101814229,GIO
37,,289.7631404307692,GIO
38,,299.55509238518516,GIO
