Minisector,SAI,TSU,Fastest
0,252.69485496712636,255.1169011209642,TSU
1,211.68066539647236,213.08368323260234,TSU
2,202.69096961828848,207.36925959081887,TSU
3,254.09625366627517,257.2681759394048,TSU
4,271.2286326631218,271.05395337317333,SAI
5,285.22914231248774,285.8214675705887,TSU
6,166.11499661744426,162.2894058452595,SAI
7,183.64501018574714,187.43755180835893,TSU
8,262.73239175944474,267.5316624337222,TSU
9,285.1239427931164,289.22852661553304,TSU
10,295.0430817208215,299.009596762712,TSU
11,298.2825397333333,297.77527233742046,SAI
12,120.11923981043573,113.82180815115987,SAI
13,183.89189930982565,189.3703000122252,TSU
14,266.1469484637723,270.1588286543377,TSU
15,288.7437474306851,292.8366442958402,TSU
16,297.27366703731053,295.636931809393,SAI
17,187.39520545432023,184.67758412994297,SAI
18,220.70269026483544,223.5501343937961,TSU
19,266.5314495984271,265.29392451278557,SAI
20,159.58813070775454,154.3299898730708,SAI
21,151.06777138372422,147.62114388272724,SAI
22,218.88142173864776,222.90695492177056,TSU
23,239.57728549086067,233.65967348003045,SAI
24,156.17952892663885,159.97126186984042,TSU
25,225.3697412465257,,SAI
