Minisector,BOT,HAM,Fastest
0,204.0459168102741,199.80510922948852,BOT
1,266.27914142606835,263.474217,BOT
2,291.4684409216386,292.63749902222224,HAM
3,291.0616788491228,306.3312300342857,HAM
4,162.4381593529809,176.1361153777778,HAM
5,227.24786439469813,211.61325452358452,BOT
6,274.4949549473684,272.9835806281861,BOT
7,293.6158513562212,296.60439757037034,HAM
8,294.5251653170777,301.96523104089636,HAM
9,171.38110653497662,225.8138073450702,HAM
10,131.0189013777353,111.23660441893134,BOT
11,252.28263563467038,241.0548676155844,BOT
12,283.8742844569248,282.53267452631576,BOT
13,293.1084324063492,296.57657495845507,HAM
14,147.7170397063275,170.40352088333333,HAM
15,192.19297847357666,158.83411575234766,BOT
16,257.88363051428576,251.99682458412695,BOT
17,210.97594802076773,209.28175005359168,BOT
18,217.57773711694495,194.18658158933331,BOT
19,222.45513995171717,226.00870911959532,HAM
20,243.0469290286177,233.52518783030303,BOT
21,274.44309472,271.76944373333333,BOT
22,290.1148854062461,291.96379835567154,HAM
23,270.87273965465346,283.69537220740744,HAM
24,226.38217329801256,234.45072473043479,HAM
25,190.20920442933436,,BOT
