Minisector,PER,ALO,Fastest
0,304.89176052105404,299.52328707261836,PER
1,235.96583472055386,240.72739827301587,ALO
2,193.92800596801067,195.4676311587125,ALO
3,270.5066086645397,264.4246260825397,PER
4,225.95664133333332,225.48455029978953,PER
5,110.28214265288112,109.87517050219164,PER
6,175.41450958445253,171.84040807503385,PER
7,257.6487948830138,252.56964396190477,PER
8,288.58714224695666,280.82409023822464,PER
9,304.95196692008284,297.094000128,PER
10,306.9211507219769,300.5335144811594,PER
11,226.83216056666666,234.73120221113834,ALO
12,148.68155428994788,145.62829881606245,PER
13,259.8392234324274,252.66319569477886,PER
14,294.21321423847616,285.4545616922293,PER
15,305.26195659130434,296.2795139111111,PER
16,298.02300006400003,291.6449320636292,PER
17,255.94925607619047,253.10718171954025,PER
18,176.48250590661894,175.39382257014114,PER
19,182.19391066142455,181.2111567459451,PER
20,166.76835309569162,171.38043018231292,ALO
21,240.3782795423656,244.58527357205287,ALO
22,121.90803927144067,121.63532487823556,PER
23,191.64751470382743,189.9556765475553,PER
24,288.18894244102563,276.9085575259238,PER
25,,295.42916693333336,ALO
