Minisector,HUL,LEC,Fastest
0,276.33496178552076,280.7440142984127,LEC
1,299.62548045128204,304.6636917595504,LEC
2,311.5976562,316.0107993360544,LEC
3,319.2404761904762,322.9812499809524,LEC
4,324.68621792820517,327.930402930403,LEC
5,322.67435897435894,330.3331037268308,LEC
6,213.71122814891777,203.74409833650793,HUL
7,105.89847717491621,107.62910846736352,LEC
8,194.6704204892707,186.0686569293236,HUL
9,269.03532896806723,269.57034334117645,LEC
10,293.70952380952383,299.25555555555553,LEC
11,159.59976567699135,160.26450209559772,LEC
12,100.26368583857784,100.09994553521359,HUL
13,118.1858011946694,121.27590001147361,LEC
14,221.86258992761904,220.72618996825398,HUL
15,186.7818404166357,187.22095697777777,LEC
16,226.52812620490914,221.83257772099464,HUL
17,176.22901378725575,173.8836669677956,HUL
18,243.80482498245615,246.3898143459232,LEC
19,282.57936472380953,288.8818560508838,LEC
20,244.91567247866993,224.57244016704348,HUL
21,145.40793788077357,143.83655544106955,HUL
22,100.07056171214664,99.36670186746056,HUL
23,129.35643466997698,128.0734919259303,HUL
24,232.5859483983166,238.66701709803922,LEC
