Minisector,HAM,LEC,Fastest
0,291.57265029774436,291.14833960902257,HAM
1,241.48713986216453,217.90798781808812,HAM
2,150.08819368888888,140.4354364085459,HAM
3,230.1506712665102,221.20607582222223,HAM
4,167.03515683333333,155.38077376201068,HAM
5,177.275164350384,170.58797346138192,HAM
6,249.76249945396825,247.22222212063494,HAM
7,272.96166645333335,270.3779259622787,HAM
8,281.10241218245613,277.0125000421053,HAM
9,273.8921057122807,253.67270424671202,HAM
10,253.38730143492063,243.27793192240551,HAM
11,256.07122570582015,245.45978272463768,HAM
12,218.72812573333331,211.396333312,HAM
13,150.84945775800796,135.93549663572716,HAM
14,164.05669258528138,152.2712375068912,HAM
15,188.7184093472662,171.4234933624946,HAM
16,258.5367057777778,249.40513817212593,HAM
17,249.341452887909,249.57442191680298,LEC
18,120.05400613461885,113.92002497588987,HAM
19,203.65145172912665,189.91448401834216,HAM
20,200.41719621305114,195.14241081904763,HAM
21,234.06627888997164,230.19358285694852,HAM
22,264.84323661027486,262.5040205423747,HAM
23,281.70739312280705,275.369648957933,HAM
24,292.456385762145,284.74758770526313,HAM
25,,287.57499977142857,LEC
