Minisector,ALO,SAI,Fastest
0,295.00223221801025,289.7888158315789,ALO
1,222.22636197460318,215.89194099858668,ALO
2,142.6244362385113,140.9790507619146,ALO
3,218.86934499047618,218.04903930966182,ALO
4,157.8132654507754,151.23948955556884,ALO
5,177.86451229425288,171.6534125395308,ALO
6,248.54972594154518,246.67023842539683,ALO
7,272.26228087017546,269.22003951746035,ALO
8,279.6414474105263,275.4412949370197,ALO
9,260.9544096351489,246.74226133333335,ALO
10,245.3696431238095,233.32155733333335,ALO
11,239.0276055671334,234.683660366044,ALO
12,206.2934429862018,208.17487181553852,SAI
13,138.57698078337472,137.94959724869764,ALO
14,143.88518462222223,147.00116436835233,SAI
15,176.1849187428652,174.06107845895642,ALO
16,253.23809574603175,250.0215899636364,ALO
17,239.49331476212976,247.49256776290127,SAI
18,112.1975570095238,115.01187446373105,SAI
19,196.40533949015537,191.2621536119972,ALO
20,193.65055226666666,192.91642326339,ALO
21,232.66675033419767,226.58988146031746,ALO
22,261.5400895314286,259.29223232224547,ALO
23,277.5921054877193,274.75911466001287,ALO
24,289.47496705396173,284.22697375438594,ALO
25,292.62916693333335,286.7729168,ALO
