Minisector,RUS,RAI,Fastest
0,270.58450916492916,275.31552145651483,RAI
1,290.07796853602423,298.27236828070176,RAI
2,295.15357124010023,306.48915673162696,RAI
3,123.52079298061538,126.55180472902288,RAI
4,191.01041001020897,192.15517814744766,RAI
5,251.12572150257324,258.2711177287982,RAI
6,136.30369493827328,137.643853987348,RAI
7,201.19782561379628,196.87788701798942,RUS
8,256.57648854857143,257.4139570294161,RAI
9,275.9475569052727,284.25175432982456,RAI
10,229.09732841217934,223.44823709188364,RUS
11,172.38239770223726,178.91923159661923,RAI
12,185.43872402525594,188.67302644005804,RAI
13,142.0535324272629,149.97431937913854,RAI
14,177.62177369462367,173.77809415807056,RUS
15,160.41893323703147,159.87314444369747,RUS
16,211.84133333333335,209.29879606372464,RUS
17,229.3293902886129,232.45952472380952,RAI
18,232.7318839652174,229.0132170618659,RUS
19,236.47089764320685,245.5300736463768,RAI
20,139.79301464961543,138.36769853570948,RUS
21,134.1908995517491,134.83059608380952,RAI
22,166.914767377282,169.0049840376991,RAI
23,145.57124913831288,144.26666655135134,RUS
24,225.48338254856878,229.20878429955283,RAI
25,256.2249984,,RUS
