Minisector,SAI,RIC,Fastest
0,274.3979332969428,280.5654419974455,RIC
1,289.08118280084653,296.32293075839436,RIC
2,284.6467446088596,290.4524997184107,RIC
3,174.37505451029972,175.33583877773626,RIC
4,133.33130566817292,127.58713310173503,SAI
5,246.3994159325705,244.49395453910546,SAI
6,282.0289229241796,295.5614353605707,RIC
7,281.1726200278177,298.13920794024835,RIC
8,178.2555294988747,169.09277674896893,SAI
9,146.76962731313375,147.58073349672318,RIC
10,254.41490427034645,257.0943374876318,RIC
11,284.14357108717127,290.09452951747875,RIC
12,287.7756533534651,294.9447452331349,RIC
13,275.25442483219393,281.5078565577618,RIC
14,291.2363219367267,302.0253304173418,RIC
15,299.0210307224268,303.3247426636298,RIC
16,263.17466332989784,251.10250119493477,SAI
17,240.06143174826366,231.26347415273358,SAI
18,282.7097954468484,291.7868226934415,RIC
19,300.0366566418141,321.3155398228479,RIC
20,304.4236342289537,324.8928966955153,RIC
21,227.53983194349024,205.67194095896767,SAI
22,258.6554882923725,254.89532694722743,SAI
23,139.28833899486318,139.05528031824514,SAI
24,224.08782217038487,220.45834806956057,SAI
25,258.3640190489656,263.22500053333334,RIC
