Minisector,PIA,RIC,Fastest
0,275.5907468578081,273.3778598977444,PIA
1,123.82362481316156,110.90254910097548,PIA
2,167.4167916764064,157.58784763265308,PIA
3,216.64532577422221,215.25423660564405,PIA
4,164.32537096681094,155.46170976190476,PIA
5,242.55056038028985,239.076768188486,PIA
6,196.19689165586814,206.95471341084445,RIC
7,132.15161082351378,129.98227106220156,PIA
8,233.87484204842895,231.59666133955494,PIA
9,278.2426311111111,274.2970512507228,PIA
10,285.3543575771428,261.90856765161533,PIA
11,150.43467886408843,142.77373239763105,PIA
12,224.240276350839,226.83071427174,RIC
13,274.34738028190475,272.7507764494272,PIA
14,256.373995210582,250.78779202933333,PIA
15,101.21617528258565,95.41536646027298,PIA
16,224.4700008838765,234.56425770384843,RIC
17,273.33570343685494,272.27841900849825,PIA
18,292.05594155333335,292.0842206981537,RIC
19,300.6671753346556,300.1574019029692,PIA
20,304.7092162488889,304.31421355767196,PIA
21,271.05881628885686,256.0499593864648,PIA
22,141.41638611956668,143.66079701402518,RIC
23,233.959736008,235.27012863858195,RIC
24,277.1454501879524,273.1585073670033,PIA
