Minisector,PER,GAS,Fastest
0,251.89411714504357,250.77221904598932,PER
1,124.4118391155204,116.20985203554994,PER
2,259.7868469361743,260.3638648455214,GAS
3,303.85295083210883,304.9894051558045,GAS
4,305.4982589734666,308.0990963901876,GAS
5,314.62854438381396,319.35269282816427,GAS
6,318.59262820512816,332.65164666031257,GAS
7,320.5726062369785,336.08280436218297,GAS
8,184.73277763160198,178.664431911549,PER
9,184.49343453437498,173.49589268791289,PER
10,181.02577617580602,173.26650522028947,PER
11,172.98906091781387,163.66947483958123,PER
12,244.15984594068584,247.26700839564475,GAS
13,270.21230568384874,256.10902597402594,PER
14,274.36791051278436,267.6533497353038,PER
15,274.21962962962965,269.00743733632623,PER
16,171.9980295924463,162.38956672020214,PER
17,180.963795956139,175.7794284075241,PER
18,230.4535456484127,226.65083454747452,PER
19,281.63432876705815,280.3632923146812,PER
20,303.56038957126043,301.9106593857567,PER
21,309.62558107051865,309.7916,GAS
22,308.7344357430857,307.88602980773607,PER
23,241.1636957125336,248.1026127635805,GAS
24,109.48072554765261,111.63281967866149,GAS
25,223.8250048,222.6785737142857,PER
