Minisector,ALO,BOT,Fastest
0,279.4012531496013,283.97678788571426,BOT
1,129.3110914281704,118.22075792067686,ALO
2,154.3418028358773,158.41768536934242,BOT
3,206.75067296256532,210.0970926026331,BOT
4,165.9950696784849,158.93535443455784,ALO
5,242.73875995787117,239.06835622654688,ALO
6,220.04709686176048,199.38945311047618,ALO
7,132.7959509094466,130.33690486666666,ALO
8,232.71748408380952,238.5265511560998,BOT
9,274.97063267506724,282.69869331747896,BOT
10,284.5215125252149,286.4319217189803,BOT
11,150.9588441407898,139.5328493087428,ALO
12,216.40438204225148,216.72579310545453,BOT
13,266.66661298023496,268.08238830650504,BOT
14,264.100819441552,256.66468132857443,ALO
15,101.24368694741702,99.67864714986459,ALO
16,213.42090535996994,221.7866752,BOT
17,269.18329043666273,271.0259850745218,BOT
18,289.7771648194211,298.54470403492064,BOT
19,300.4487514969705,313.4594875977143,BOT
20,304.1656862745098,322.53129138133335,BOT
21,284.3120300203654,277.1487324749963,ALO
22,151.45840586080237,143.97762884685005,ALO
23,232.45398366766744,237.32442981956103,BOT
24,275.4656510430461,283.7099287377031,BOT
25,,297.0,BOT
