Minisector,VER,LIN,Fastest
0,306.13239082857143,298.29430525139117,VER
1,162.6716506444325,147.80362158132345,VER
2,218.14796545939393,216.7666972521739,VER
3,288.010226398797,285.1151402766123,VER
4,315.4851876957143,318.2293171968298,LIN
5,317.0623536136082,318.67460219272726,LIN
6,181.73286145433232,177.53576071161905,VER
7,117.86774049322491,118.59332730107472,LIN
8,243.57298893476082,257.1112723882013,LIN
9,296.9601889238627,298.1568896670454,LIN
10,301.13392040522314,301.63070920095237,LIN
11,138.3265231199098,133.36931568326483,VER
12,180.0357679679597,182.26196204011757,LIN
13,244.38953756580017,246.0599525373374,LIN
14,193.26295809311048,174.45315361404005,VER
15,194.8853833599856,194.76866284315284,VER
16,197.55880356204943,189.33087942867724,VER
17,234.82327776867623,233.99536498875906,VER
18,280.6085041861816,281.80324838019783,LIN
19,294.0646093242857,298.3645221111688,LIN
20,244.31537323319728,230.84885181766788,VER
21,205.9960882685972,190.52798203513228,VER
22,187.7940000365393,194.85921743128463,LIN
23,270.285089441522,276.98362033666666,LIN
24,304.1308874404762,306.3286930787879,LIN
