Minisector,STR,ALB,Fastest
0,307.3824065777778,284.7448509409524,STR
1,325.176077934156,291.50520837333335,STR
2,336.87303915742297,294.23289465263156,STR
3,315.4351880888889,289.755120152381,STR
4,165.04364309634755,174.38385482857143,ALB
5,204.0990950659612,206.64752111097644,ALB
6,234.46754834307066,226.47645189485712,STR
7,266.4909085090909,260.00240874577605,STR
8,251.97490318975804,259.41339360692643,ALB
9,162.0084658381101,165.35949356069077,ALB
10,228.34489598536325,226.3682264655238,STR
11,130.0533715384988,136.16860639283817,ALB
12,225.56970339268483,221.98649877333332,STR
13,187.15309250752688,199.34402460573796,ALB
14,221.10234306174073,208.37297076825396,STR
15,243.09937933913042,239.6409651932302,STR
16,257.3794845846606,254.2103257043478,STR
17,283.974352576975,277.79955548554125,STR
18,122.53481333263494,140.92608465562367,ALB
19,159.83683454074074,155.19600281426904,STR
20,144.77661310935628,144.41156944814256,STR
21,159.02479261120294,169.48941673137622,ALB
22,117.10385030592808,116.15821257960306,STR
23,227.07273252693332,218.18394943209876,STR
24,270.08890631341995,263.6340636721806,STR
25,283.3374976,279.94791626666665,STR
