Minisector,PER,BOT,Fastest
0,304.89176052105404,297.6987472935759,PER
1,235.96583472055386,235.22953968367474,PER
2,193.92800596801067,192.52169388979684,PER
3,270.5066086645397,263.411512962224,PER
4,225.95664133333332,228.1855638549856,BOT
5,110.28214265288112,113.84549312112485,BOT
6,175.41450958445253,171.7333743529263,PER
7,257.6487948830138,256.19094881839084,PER
8,288.58714224695666,287.6936903375238,PER
9,304.95196692008284,304.1509336963877,PER
10,306.9211507219769,304.173264,PER
11,226.83216056666666,243.8179176334818,BOT
12,148.68155428994788,146.04358018140832,PER
13,259.8392234324274,251.4159031878547,PER
14,294.21321423847616,289.13270951504035,PER
15,305.26195659130434,300.31653969342364,PER
16,298.02300006400003,288.4458581714286,PER
17,255.94925607619047,251.8367773334852,PER
18,176.48250590661894,174.28859322035038,PER
19,182.19391066142455,184.8573373459195,BOT
20,166.76835309569162,167.37382478951383,BOT
21,240.3782795423656,237.86644206178033,PER
22,121.90803927144067,123.24156697853013,BOT
23,191.64751470382743,188.64902892903976,PER
24,288.18894244102563,279.44683837840455,PER
25,,297.14166613333333,BOT
