Minisector,PIA,STR,Fastest
0,268.82585098209523,268.47393649284857,PIA
1,287.30382239492064,287.7305636097965,STR
2,293.78607162890756,295.8779144008556,STR
3,131.24465315861949,132.0718652238234,STR
4,198.08433210655625,190.1361980969095,PIA
5,255.22358610665668,254.9994392205752,PIA
6,145.2537878290476,142.56859696615402,PIA
7,211.6578684409931,205.23830518383272,PIA
8,258.2722124958025,256.15592714666667,PIA
9,274.82480236270675,280.1662031558897,STR
10,245.79135031594134,237.4804988121212,PIA
11,185.334931336409,180.69846840734436,PIA
12,198.439878376178,186.6319114590941,PIA
13,141.00388937415917,137.11226544155937,PIA
14,178.74901341619446,176.91660983572018,PIA
15,166.6338278179069,162.0017136922124,PIA
16,222.01180117267083,218.39513965007592,PIA
17,245.17641662464766,238.85212279932776,PIA
18,249.05540953452171,243.31747657142856,PIA
19,241.57097866545732,231.04154219667112,PIA
20,149.91268037284826,141.95265128761906,PIA
21,134.4769294605628,132.06594352510743,PIA
22,169.7085432373788,173.24945668982065,STR
23,153.8178599268661,153.57327975083308,PIA
24,233.13399026526315,228.26086997622437,PIA
25,258.08571245714285,,PIA
