Minisector,VER,LIN,Fastest
0,97.85001659064083,162.33737945806453,LIN
1,124.90601232253968,127.47877707690404,LIN
2,197.47752366222224,150.07993860491914,VER
3,238.4825524,197.31108530468572,VER
4,259.0355264,212.04608740669832,VER
5,259.21194389333334,179.43339948768474,VER
6,164.95980760615384,106.35333125841042,VER
7,116.45254065987803,136.95980898206898,LIN
8,138.96811259863946,170.85480339178983,LIN
9,199.65245577142858,149.0775224304762,VER
10,216.097510532119,146.3802014967742,VER
11,247.17458378666666,136.5820751,VER
12,274.98502383940297,156.00947261500335,VER
13,292.1611112296296,198.11153846153846,VER
14,298.88916672,237.22769271755695,VER
15,284.6603374676692,247.68812491555553,VER
16,260.50985238588237,222.62318749776554,VER
17,206.59860873485954,188.90499967999997,VER
18,217.32258175911224,216.0954362897547,VER
19,178.64654146077922,239.31111111111113,LIN
20,136.84868817777777,265.5097071831579,LIN
21,153.72195392688172,262.10262479398494,LIN
22,198.44491159893332,195.44642834285716,VER
23,226.21052631578948,125.21645233548388,VER
24,148.72161336666667,,VER
