Minisector,VET,RAI,Fastest
0,269.34226224761903,272.0035715809524,RAI
1,133.1527647233081,137.34774477781704,RAI
2,189.55119020288296,187.58442363597885,VET
3,244.9686952241037,244.21888737457954,VET
4,264.8905023701038,261.9355166359383,VET
5,180.46834909358407,185.16362704544665,RAI
6,142.50968577079524,143.5619929292138,RAI
7,181.0497347403224,176.43926836490147,VET
8,100.61759170747017,102.65071715349607,RAI
9,74.28042562703955,77.05756077744047,RAI
10,92.80726406280677,90.56402500805429,VET
11,171.10204115392185,167.55453957503417,VET
12,243.06054292619612,245.12979209403463,RAI
13,271.45641066666667,270.1209210451817,VET
14,282.8998751414233,282.8025486878967,VET
15,114.93294719014311,123.87010265069124,RAI
16,139.0366812577581,126.99455294587314,VET
17,191.8842917240482,196.33442863157893,RAI
18,195.73556114055677,191.6418640747955,VET
19,224.70202489923065,220.44040814202623,VET
20,130.44184207842662,128.70432419196683,VET
21,120.01939728700124,135.23765279222923,RAI
22,88.49709114389705,82.55074244999915,VET
23,189.4277809777778,179.25994026701764,VET
24,250.75690405682263,245.7224494585034,VET
25,,262.4583331555555,RAI
