Minisector,ALO,LEC,Fastest
0,249.58567172402118,259.64464706097186,LEC
1,126.04566036892935,120.99345982749018,ALO
2,258.15992659513756,258.5632149217535,LEC
3,300.2549385052352,300.7375290096649,LEC
4,303.901749607218,301.7943303284656,ALO
5,311.1094878851282,315.6281104594709,LEC
6,314.1936821387198,330.1793588609016,LEC
7,308.1635119949206,333.0003883826388,LEC
8,192.28034333045593,184.51328139421707,ALO
9,177.93535192049276,187.6722624192436,LEC
10,180.58493405307257,180.6239212344052,LEC
11,161.9351731216174,178.46952113199052,LEC
12,243.6580187031746,255.22396422047942,LEC
13,267.510112513536,270.6480681946921,LEC
14,274.10244704169315,275.58693234977466,LEC
15,262.4139447964078,263.2650471073428,LEC
16,166.8237995490982,178.69818528337214,LEC
17,170.1647285039276,181.85685829993878,LEC
18,225.8223884769128,235.65850721558098,LEC
19,278.38786928599365,280.67245975154685,LEC
20,299.5171700923077,299.8293258367536,LEC
21,305.30597076828406,303.4224068399172,ALO
22,301.11452663566575,304.4432620397714,LEC
23,249.8954747498059,226.32294323554885,ALO
24,106.77891327770027,114.30293835981908,LEC
25,220.55279485328492,,ALO
