Minisector,HAM,HUL,Fastest
0,252.2764499640252,250.16516877366743,HAM
1,290.3269870303974,283.17166682666664,HAM
2,185.38478874287924,162.2277698728706,HAM
3,159.52914864352164,168.6215448643127,HUL
4,260.5974490557823,253.936418008658,HAM
5,271.65946967272725,265.40978188535564,HAM
6,236.12799991466665,226.7709622645722,HAM
7,210.43072007567415,200.25952724648485,HAM
8,159.98677411877117,161.9910974195844,HUL
9,218.94504992168666,227.71165630058766,HUL
10,272.44423558897245,268.91176314920637,HAM
11,135.59558821753257,127.24012777799298,HAM
12,217.5510865280108,215.74411219613242,HAM
13,278.2625,276.4906928554112,HAM
14,301.819366966083,295.51562512,HAM
15,311.5833333333333,301.9255314118689,HAM
16,243.87008281573497,218.985207765372,HAM
17,130.55225643742477,130.87790561242255,HUL
18,133.8816519284819,133.76569885003798,HAM
19,120.61461632341171,119.2120903936508,HAM
20,228.45427618688726,222.62947571358023,HAM
21,257.0848957333333,253.78500328502244,HAM
22,240.60149724070308,224.0522429948718,HAM
23,218.63837624616974,211.08719640209446,HAM
24,142.3959745739647,137.90206174463083,HAM
