Minisector,NOR,VET,Fastest
0,300.57807968198756,303.08879134986194,VET
1,302.2496212363636,305.45535524436804,VET
2,249.74532489288532,263.8313911552057,VET
3,151.89964844391824,150.8025054215179,NOR
4,162.50644966297696,165.59179130453606,VET
5,211.86931667342466,210.61964495320552,NOR
6,224.98928107583464,238.8957956998122,VET
7,211.42711415896554,210.0309657529017,NOR
8,261.92674686914904,260.01556005330093,NOR
9,258.62425599263656,258.7319525912381,VET
10,274.99795839752306,274.59970206984127,NOR
11,273.46362692180884,278.36416452763643,VET
12,273.9041668888889,277.8004478556519,VET
13,260.44449852342854,270.513397602083,VET
14,176.91609808364865,169.60491666852218,NOR
15,243.52764950582923,234.59546725255655,NOR
16,207.0565828563668,206.89412846605762,NOR
17,171.84695570345744,165.8113268643008,NOR
18,256.5673029184787,254.4562492825397,NOR
19,284.9297860256253,282.9041533315786,NOR
20,250.69857671351548,252.19572138596243,VET
21,188.07033915948318,186.75708976724596,NOR
22,255.75098100557847,256.4367851093333,VET
23,284.34088958508215,284.49888676953805,VET
24,296.31306804848487,298.205616,VET
25,,303.3,VET
